,season,round,name,url,conditions
17,2001,4,37. Rallye Catalunya - Costa Brava - Rallye de España 2001,/final/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,"['asphalt', 'cancelled']"
18,2001,5,21. Rally Argentina 2001,/final/98-rally-argentina-2001/,['gravel']
19,2001,6,29. Cyprus Rally 2001,/final/99-cyprus-rally-2001/,['gravel']
20,2001,7,48. Acropolis Rally 2001,/final/100-acropolis-rally-2001/,"['gravel', 'cancelled']"
21,2001,8,49. Safari Rally Kenya 2001,/final/101-safari-rally-kenya-2001/,"['gravel', 'cancelled']"
22,2001,9,51. Neste Rally Finland 2001,/final/102-neste-rally-finland-2001/,['gravel']
23,2001,10,32. Propecia Rally New Zealand 2001,/final/103-propecia-rally-new-zealand-2001/,['gravel']
24,2001,11,43. Rallye Sanremo - Rallye d'Italia 2001,/final/104-rallye-sanremo-rallye-ditalia-2001/,['asphalt']
25,2001,12,45. Tour de Corse - Rallye de France 2001,/final/105-tour-de-corse-rallye-de-france-2001/,"['asphalt', 'cancelled']"
26,2001,13,14. Telstra Rally Australia 2001,/final/106-telstra-rally-australia-2001/,"['gravel', 'cancelled']"
27,2001,14,57. Network Q Rally of Great Britain 2001,/final/107-network-q-rally-of-great-britain-2001/,"['gravel', 'cancelled']"
28,2002,1,70. Rallye Automobile Monte-Carlo 2002,/final/79-rallye-automobile-monte-carlo-2002/,"['asphalt', 'snow', 'cancelled']"
29,2002,2,51. Uddeholm Swedish Rally 2002,/final/80-uddeholm-swedish-rally-2002/,"['snow', 'ice', 'cancelled']"
30,2002,3,46. Tour de Corse - Rallye de France 2002,/final/81-tour-de-corse-rallye-de-france-2002/,['asphalt']
31,2002,4,38. Rally Catalunya - Costa Brava - Rally de España 2002,/final/82-rally-catalunya-costa-brava-rally-de-espana-2002/,"['asphalt', 'cancelled']"
32,2002,5,30. Cyprus Rally 2002,/final/83-cyprus-rally-2002/,"['gravel', 'cancelled']"
33,2002,6,22. Rally Argentina 2002,/final/84-rally-argentina-2002/,"['gravel', 'cancelled']"
34,2002,7,49. Acropolis Rally 2002,/final/85-acropolis-rally-2002/,"['gravel', 'cancelled']"
35,2002,8,50. Inmarsat Safari Rally 2002,/final/86-inmarsat-safari-rally-2002/,"['gravel', 'cancelled']"
36,2002,9,52. Neste Rally Finland 2002,/final/87-neste-rally-finland-2002/,['gravel']
37,2002,10,21. ADAC Rallye Deutschland 2002,/final/88-adac-rallye-deutschland-2002/,"['asphalt', 'cancelled']"
38,2002,11,44. Rallye Sanremo - Rallye d'Italia 2002,/final/89-rallye-sanremo-rallye-ditalia-2002/,['asphalt']
39,2002,12,33. Propecia Rally New Zealand 2002,/final/91-propecia-rally-new-zealand-2002/,['gravel']
40,2002,13,15. Telstra Rally Australia 2002,/final/92-telstra-rally-australia-2002/,['gravel']
41,2002,14,58. Network Q Rally of Great Britain 2002,/final/93-network-q-rally-of-great-britain-2002/,"['gravel', 'cancelled']"
42,2003,1,71. Rallye Automobile Monte-Carlo 2003,/final/65-rallye-automobile-monte-carlo-2003/,"['asphalt', 'snow', 'cancelled']"
43,2003,2,52. Uddeholm Swedish Rally 2003,/final/66-uddeholm-swedish-rally-2003/,"['snow', 'ice', 'cancelled']"
44,2003,3,4. Rally of Turkey 2003,/final/67-rally-of-turkey-2003/,['gravel']
45,2003,4,34. Propecia Rally New Zealand 2003,/final/68-propecia-rally-new-zealand-2003/,['gravel']
46,2003,5,23. YPF Rally Argentina 2003,/final/69-ypf-rally-argentina-2003/,"['gravel', 'cancelled']"
47,2003,6,50. Golden Acropolis Rally 2003,/final/70-golden-acropolis-rally-2003/,"['gravel', 'cancelled']"
48,2003,7,31. Cyprus Rally 2003,/final/71-cyprus-rally-2003/,['gravel']
49,2003,8,22. ADAC Rallye Deutschland 2003,/final/72-adac-rallye-deutschland-2003/,['asphalt']
50,2003,9,53. Neste Rally Finland 2003,/final/73-neste-rally-finland-2003/,['gravel']
51,2003,10,16. Telstra Rally Australia 2003,/final/74-telstra-rally-australia-2003/,['gravel']
52,2003,11,45. Rallye Sanremo - Rallye d'Italia 2003,/final/75-rallye-sanremo-rallye-ditalia-2003/,['asphalt']
53,2003,12,47. Tour de Corse - Rallye de France 2003,/final/76-tour-de-corse-rallye-de-france-2003/,['asphalt']
54,2003,13,39. Rally Catalunya - Costa Brava - Rally de España 2003,/final/77-rally-catalunya-costa-brava-rally-de-espana-2003/,['asphalt']
55,2003,14,59. Wales Rally GB 2003,/final/78-wales-rally-gb-2003/,['gravel']
56,2004,1,72. Rallye Automobile Monte-Carlo 2004,/final/49-rallye-automobile-monte-carlo-2004/,"['asphalt', 'snow', 'cancelled']"
57,2004,2,53. Uddeholm Swedish Rally 2004,/final/50-uddeholm-swedish-rally-2004/,"['snow', 'ice']"
58,2004,3,1. Corona Rally Mexico 2004,/final/51-corona-rally-mexico-2004/,['gravel']
59,2004,4,35. Propecia Rally New Zealand 2004,/final/52-propecia-rally-new-zealand-2004/,['gravel']
