,leg,start_number,start_time,url,entry_number,driver,codriver,car
114,2,55,1. 6. 08:47,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268537/,94,García Paz Santiago,Casal Vilar Néstor,Peugeot 208 R2
115,3,1,2. 6. 06:44,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281537/,44,Greensmith Gus,Edmondson Elliott,Ford Fiesta WRC
116,3,2,2. 6. 06:46,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239686/,10,Latvala Jari-Matti,Anttila Miikka,Toyota Yaris WRC
117,3,3,2. 6. 06:48,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239692/,6,Sordo Dani,del Barrio Carlos,Hyundai i20 Coupe WRC
118,3,4,2. 6. 06:50,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280559/,19,Loeb Sébastien,Elena Daniel,Hyundai i20 Coupe WRC
119,3,5,2. 6. 06:52,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239689/,33,Evans Elfyn,Martin Scott,Ford Fiesta WRC
120,3,6,2. 6. 06:54,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239682/,3,Suninen Teemu,Salminen Marko,Ford Fiesta WRC
121,3,7,2. 6. 06:56,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239683/,4,Lappi Esapekka,Ferm Janne,Citroën C3 WRC
122,3,8,2. 6. 06:58,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239681/,1,Ogier Sébastien,Ingrassia Julien,Citroën C3 WRC
123,3,9,2. 6. 07:00,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239687/,11,Neuville Thierry,Gilsoul Nicolas,Hyundai i20 Coupe WRC
124,3,10,2. 6. 07:02,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239684/,5,Meeke Kris,Marshall Sebastian,Toyota Yaris WRC
125,3,11,2. 6. 07:04,/entryinfo/54466-vodafone-rally-de-portugal-2019/2239685/,8,Tänak Ott,Järveoja Martin,Toyota Yaris WRC
